"活動ID","建立日期","平台","頻道名稱","活動標題","貼文則數","貼文類型","貼文連結","Meta post ID","留言數","留言加購","銷售額NT$"
"716665","2026-08-12","Instagram","tzgems1111","2026/08/12 祖母綠貼文","1","Reel","https://www.instagram.com/reel/Db7DZD9kacB/","18108449579039196","0","0","0"
"716664","2026-08-12","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","2026/08/12 祖母綠貼文","1","Reel","https://www.facebook.com/reel/1048861917626854/","1627804834169159_1549522387187704","0","0","0"
"716631","2026-08-12","Instagram","tzgems1111","2026/08/12貼文","1","照片","https://www.instagram.com/p/Db6_AvEjsQ4/","18162638152461701","2","0","0"
"716630","2026-08-12","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","2026/08/12貼文","1","照片","https://www.facebook.com/681888940617724/posts/1549500590523217","1627804834169159_1549500590523217","0","0","0"
"715789","2026-08-08","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","加入寵粉社群","1","Reel","https://www.facebook.com/reel/2201954847425513/","1627804834169159_1546650407474902","6","0","0"
"715788","2026-08-08","Instagram","tzgems1111","加入寵粉社群","1","Reel","https://www.instagram.com/reel/DbzUOMOTjG_/","18112111387966040","11","0","0"
"715503","2026-08-07","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","寵愛自己系列[鴿子蛋戒指系]20260807f88fb","1","Reel","https://www.facebook.com/reel/1804956704251021/","1627804834169159_1545188890954387","136","0","0"
"715501","2026-08-07","Instagram","tzgems1111","寵愛自己系列[鴿子蛋戒指系]20260807f88ig","1","Reel","https://www.instagram.com/reel/DbvIcrXsHXH/","18114528020297304","54","0","0"
"715437","2026-08-07","Facebook","泰熙爾 札娜寶石學院 - 世界各式彩寶.原礦批發 - 代客切磨 . 教學     Tahir Zainab Gems & Rough of World","農曆七月｜平安守護能量20260807f89fb","1","Reel","https://www.facebook.com/reel/1022877957229161/","1627804834169159_1545080887631854","3","0","0"
"715435","2026-08-07","Instagram","tzgems1111","農曆七月｜平安守護能量20260807f89ig","1","Reel","https://www.instagram.com/reel/DbuzwRosmXk/","18110603846081197","107","0","0"
